Province,2024 Predicted Energy Generation (GWh)
ACEH,5418.18419518181
SUMATERA UTARA,15442.784831689689
SUMATERA BARAT,3716.216442915793
RIAU,9846.534150179246
JAMBI,4652.658455622321
SUMATERA SELATAN,6882.536525580541
BENGKULU,7468.150508034942
LAMPUNG,6376.697911577579
KEP. BANGKA BELITUNG,3067.0046095376165
KEP. RIAU,6428.649232053875
DKI JAKARTA,25861.107170657036
JAWA BARAT,55248.01937260067
JAWA TENGAH,23194.661966380416
DI YOGYAKARTA,28364.384908907385
JAWA TIMUR,25178.549602730127
BANTEN,37029.315713225136
BALI,4835.185980699793
NUSA TENGGARA BARAT,4629.148778872695
NUSA TENGGARA TIMUR,4831.742279130165
KALIMANTAN BARAT,5261.469209773073
KALIMANTAN TENGAH,109.52907669543856
KALIMANTAN SELATAN,3507.5658442018976
KALIMANTAN TIMUR,3802.563555278026
KALIMANTAN UTARA,605.4744477586828
SULAWESI UTARA,7761.745718012298
SULAWESI TENGAH,4153.346366274436
SULAWESI SELATAN,7184.950592579404
SULAWESI TENGGARA,5585.50676121403
GORONTALO,4641.0685132135
SULAWESI BARAT,6294.380978575351
MALUKU,507.7060106678182
MALUKU UTARA,2013.843908108247
PAPUA BARAT,-2262.6564439184895
PAPUA,4165.998715860926
INDONESIA,329397.0723178207
